,city_state_country,geopy location,coordinates
2020,"Williamson, NY, USA","Town of Williamson, Wayne County, New York, United States","(43.2238186, -77.1864012)"
2021,"Centerport, NY, USA","Centerport, Town of Huntington, Suffolk County, New York, 11721, United States","(40.89782185, -73.37172140296552)"
2022,"Elmsford, NY, USA","Elmsford, Town of Greenburgh, Westchester County, New York, 10523, United States","(41.0550969, -73.8201338)"
2023,"Saint James, NY, USA","Saint James, Jackson Avenue North, St. James, Suffolk County, New York, 11780, United States","(40.8832717, -73.1581406)"
2024,"Southold, NY, USA","Southold, Town of Southold, Suffolk County, New York, 11971, United States","(41.0639685, -72.43759149910713)"
2025,"Bardonia, NY, USA","Bardonia, Town of Clarkstown, Rockland County, New York, United States","(41.114325, -73.98188567704591)"
2026,"Laurel, NY, USA","Laurel, Town of Southold, Suffolk County, New York, 11948, United States","(40.969052500000004, -72.55405284209324)"
2027,"Chappaqua, NY, USA","Chappaqua, Town of New Castle, Westchester County, New York, United States","(41.1607656, -73.7680202082258)"
2028,"Fort Montgomery, NY, USA","Fort Montgomery, Town of Highlands, Orange County, New York, United States","(41.34108425, -73.9954204997347)"
2029,"Leeds, NY, USA","Leeds, Town of Catskill, Greene County, New York, United States","(42.2520845, -73.88866066334222)"
2030,"Lido Beach, NY, USA","Lido Beach, Town of Hempstead, Nassau County, New York, United States","(40.5889927, -73.6254072)"
2031,"Thornwood, NY, USA","Thornwood, Town of Mount Pleasant, Westchester County, New York, 10594, United States","(41.119195, -73.77679743093893)"
2032,"Montauk, NY, USA","Montauk, Suffolk County, New York, 11954, United States","(41.043629800000005, -71.94387532055404)"
2033,"CENTER MORICHES, NY, USA","Center Moriches, Suffolk County, New York, 11934, United States","(40.79955875, -72.79378922923786)"
2034,"CLIFTON PARK, NY, USA","Clifton Park, Town of Clifton Park, Saratoga County, New York, 12065-4370, United States","(42.8656325, -73.7709535)"
2035,"Newfane, NY, USA","Newfane, Town of Newfane, Niagara County, New York, United States","(43.286723, -78.710312)"
2036,"Brookhaven, NY, USA","Brookhaven, Suffolk County, New York, 11719, United States","(40.7792653, -72.9153827)"
2037,"MERRICK, NY, USA","Merrick, Town of Hempstead, Nassau County, New York, 11566, United States","(40.652246000000005, -73.55127940021693)"
2038,"Sound Beach, NY, USA","Sound Beach, Miller Place, Suffolk County, New York, 11789, United States","(40.95592895, -72.96804285664044)"
2039,"LINDENHURST, NY, USA","Lindenhurst, Suffolk County, New York, 11757, United States","(40.6867667, -73.3734547)"
2040,"Islandia, NY, USA","Islandia, Suffolk County, New York, 11749, United States","(40.8047151, -73.1804843200978)"
2041,"South Farmingdale, NY, USA","South Farmingdale, Town of Oyster Bay, Nassau County, New York, 11735, United States","(40.71831455, -73.44593302204049)"
2042,"Geneseo, NY, USA","Town of Geneseo, Livingston County, New York, United States","(42.795896, -77.816947)"
2043,"East Setauket, NY, USA","East Setauket, Suffolk County, New York, 11733, United States","(40.9418427, -73.1058559)"
2044,"VALHALLA, NY, USA","Valhalla, Town of Mount Pleasant, Westchester County, New York, 10595, United States","(41.0754695, -73.77513001810746)"
2045,"Astoria, NY, USA","Astoria, Queens, Queens County, New York, 11102, United States","(40.7720145, -73.9302673)"
2046,"Wappingers Falls, NY, USA","Wappingers Falls, Town of Wappinger, Dutchess County, New York, United States","(41.5965635, -73.9112103)"
2047,"Albertson, NY, USA","Albertson, Mineola, Town of North Hempstead, Nassau County, New York, 11507, United States","(40.77222865, -73.64688078600028)"
2048,"Pawling, NY, USA","Pawling, Town of Pawling, Dutchess County, New York, 12564, United States","(41.5620381, -73.6026271)"
2049,"Cutchogue, NY, USA","Cutchogue, Town of Southold, Suffolk County, New York, 11935, United States","(41.01453285, -72.48612390683996)"
2050,"PEEKSKILL, NY, USA","Peekskill, Westchester County, New York, 10566, United States","(41.289811, -73.9204922)"
2051,"Seneca Falls, NY, USA","Seneca Falls, Town of Seneca Falls, Seneca County, New York, 13148, United States","(42.909228, -76.79842948796332)"
2052,"Milford, NY, USA","Milford, Town of Milford, Otsego County, New York, United States","(42.5906322, -74.9451573)"
2053,"Montebello, NY, USA","Montebello, Town of Ramapo, Rockland County, New York, 10901, United States","(41.1359287, -74.118477)"
2054,"Schoharie, NY, USA","Schoharie, Town of Schoharie, Schoharie County, New York, 12157, United States","(42.6659088, -74.3095787)"
2055,"Watertown, NY, USA","Watertown, Jefferson County, New York, United States","(43.9747838, -75.9107565)"
2056,"Saint Johnsville, NY, USA","Saint Johnsville, St. Johnsville, Town of St. Johnsville, Montgomery County, New York, 13452, United States","(42.9981274, -74.6829225)"
2057,"Marlboro, NY, USA","Marlboro, Town of Marlborough, Ulster County, New York, 12542, United States","(41.604034999999996, -73.97067370838448)"
2058,"Brookyn, NY, USA","Brookyn Cleaners Depot, 1146, Atlantic Avenue, Brooklyn, New York, 11216, United States","(40.67888885, -73.95482049417615)"
2059,"Haverstraw, NY, USA","Haverstraw, Town of Haverstraw, Rockland County, New York, 10927, United States","(41.1976502, -73.9640541)"
2060,"Cortlandt MA, NY, USA","Cortlandt, Westchester County, New York, United States","(41.2486935, -73.90858593483966)"
2061,"Scotia, NY, USA","Scotia, Town of Glenville, Schenectady County, New York, 12305, United States","(42.8264652, -73.9642915)"
2062,"Roslyn Heights, NY, USA","Roslyn Heights, Roslyn Country Club, Town of North Hempstead, Nassau County, New York, United States","(40.77691645, -73.63341348711295)"
2063,"Scarsdale, NY, USA","Scarsdale, Westchester County, New York, 10583, United States","(40.9880495, -73.7974133)"
2064,"Briarcliff Manor, NY, USA","Briarcliff Manor, Town of Ossining, Westchester County, New York, 10510, United States","(41.1456512, -73.8237456)"
2065,"CONGERS, NY, USA","Congers, Town of Clarkstown, Rockland County, New York, 10920, United States","(41.14595945000001, -73.94332852668958)"
2066,"Howard Beach, NY, USA","Howard Beach, Queens, Queens County, New York, 11414, United States","(40.6578815, -73.8362459)"
2067,"Utica, NY, USA","City of Utica, Deerfield, Oneida County, New York, United States","(43.1009031, -75.2326641)"
2068,"Rotterdam, NY, USA","Rotterdam, Schenectady County, New York, 12306, United States","(42.7870209, -73.9709583)"
2069,"Gardiner, NY, USA","Gardiner, Town of Gardiner, Ulster County, New York, United States","(41.6798157, -74.1504231)"
2070,"Warrick, NY, USA","Warrick Road, Glenburnie, Town of Putnam, Washington County, New York, 12861, United States","(43.760243, -73.451932)"
2071,"Cairo, NY, USA","Cairo, Town of Cairo, Greene County, New York, 12413, United States","(42.2989749, -73.9984659)"
2072,"gloversville, NY, USA","Gloversville, Fulton County, New York, 12078, United States","(43.0508945, -74.3452991)"
2073,"Rhinebeck, NY, USA","Rhinebeck, Town of Rhinebeck, Dutchess County, New York, United States","(41.9268754, -73.9126639)"
2074,"Purchase, NY, USA","Purchase, Town of Harrison, Westchester County, New York, 10577, United States","(41.0409305, -73.7145746)"
2075,"Stone Ridge, NY, USA","Stone Ridge, Town of Marbletown, Ulster County, New York, United States","(41.8437045, -74.15342622346938)"
2076,"Yorktown Heights, NY, USA","Yorktown Heights, Town of Yorktown, Westchester County, New York, United States","(41.2695965, -73.77527040089426)"
2077,"New Lebanon, NY, USA","New Lebanon, Town of New Lebanon, Columbia County, New York, 12125, United States","(42.4639722, -73.3964977)"
2078,"Milan, NY, USA","Milan, Town of Milan, Dutchess County, New York, United States","(41.9534255, -73.7920752)"
2079,"Glens Falls, NY, USA","City of Glens Falls, Warren County, New York, 12801, United States","(43.309941, -73.644447)"
2080,"Woodbury, NY, USA","Woodbury, Town of Oyster Bay, Nassau County, New York, 11797, United States","(40.8182104, -73.47085685483677)"
2081,"amsterdam, NY, USA","Amsterdam, City of Amsterdam, Montgomery County, New York, 12010, United States","(42.943367, -74.1850436)"
2082,"West Haverstraw, NY, USA","West Haverstraw, Town of Haverstraw, Rockland County, New York, United States","(41.2095941, -73.9852994)"
2083,"West Hurley, NY, USA","West Hurley, Town of Hurley, Ulster County, New York, United States","(42.009471000000005, -74.11560946751592)"
2084,"Plainiview, NY, USA",,
2085,"KINGSTON, NY, USA","Kingston, Ulster County, New York, 12401, United States","(41.9287812, -74.0023702)"
2086,"Orchard Park, NY, USA","Orchard Park, Niskayuna, Schenectady County, New York, United States","(42.824773300000004, -73.88768579526037)"
2087,"East Greenbush, NY, USA","East Greenbush, Town of East Greenbush, Rensselaer County, New York, United States","(42.5909135, -73.7017858)"
2088,"Lackawanna, NY, USA","Lackawanna, Erie County, New York, United States","(42.81897, -78.83368828500451)"
2089,"Cedarhurst, NY, USA","Cedarhurst, Town of Hempstead, Nassau County, New York, 11516, United States","(40.6228819, -73.7242983)"
2090,"N Massapequa, NY, USA","North Massapequa, Town of Oyster Bay, Nassau County, New York, 11758, United States","(40.7004163, -73.4626056)"
2091,"Waterford, NY, USA","Waterford, Village of Waterford, Town of Waterford, Saratoga County, New York, 12182, United States","(42.7925778, -73.6812293)"
2092,"Alfred, NY, USA","Alfred, Town of Alfred, Allegany County, New York, 14802, United States","(42.2542334, -77.7906062)"
2093,"bayville, NY, USA","Bayville, Town of Oyster Bay, Nassau County, New York, 11709, United States","(40.9106541, -73.5620689)"
2094,"Henderson, NY, USA","Henderson, Jefferson County, New York, United States","(43.847008, -76.181871)"
2095,"Dobbs Ferry, NY, USA","Dobbs Ferry, Town of Greenburgh, Westchester County, New York, United States","(41.0110045, -73.8714145428221)"
2096,"Mount Tremper, NY, USA","Mount Tremper, Town of Shandaken, Ulster County, New York, 12457, United States","(42.0448136, -74.2754247)"
2097,"Bayside, NY, USA","Bayside, Queens, Queens County, New York, 11361, United States","(40.7684351, -73.7770774)"
2098,"Carmel, NY, USA","Carmel, Town of Carmel, Putnam County, New York, United States","(41.4266361, -73.6788272)"
2099,"Medusa, NY, USA","Medusa, Town of Rensselaerville, Albany County, New York, United States","(42.4416565, -74.12103508607211)"
2100,"MILLWOOD, NY, USA","Millwood, Town of New Castle, Westchester County, New York, 11562, United States","(41.1923171, -73.7973562)"
2101,"Highland Mills, NY, USA","Highland Mills, Woodbury, Town of Woodbury, Orange County, New York, 10930, United States","(41.3470382, -74.126256)"
2102,"Lincolndale, NY, USA","Lincolndale, Town of Somers, Westchester County, New York, 10540, United States","(41.3337525, -73.72041403603103)"
2103,"Atlantic Beach, NY, USA","Atlantic Beach, Town of Hempstead, Nassau County, New York, 11509, United States","(40.5886547, -73.7288791)"
2104,"Ossining, NY, USA","Ossining, Town of Ossining, Westchester County, New York, 10562, United States","(41.1609095, -73.87816187585699)"
2105,"Old Bethpage, NY, USA","Old Bethpage, Town of Oyster Bay, Nassau County, New York, 11804, United States","(40.758239, -73.45744326352249)"
2106,"Palmyra, NY, USA","Village of Palmyra, Town of Palmyra, Wayne County, New York, 14522, United States","(43.0623754, -77.2347245)"
2107,"Greenlawn, NY, USA","Greenlawn, Town of Huntington, Suffolk County, New York, 11740, United States","(40.860761, -73.3635845507711)"
2108,"Lake view, NY, USA","Lake View, Hamburg, Erie County, New York, 14085, United States","(42.7111701, -78.9361468)"
2109,"Canandaigua, NY, USA","City of Canandaigua, Ontario County, New York, United States","(42.8858579, -77.2799761)"
2110,"Saugerties, NY, USA","Saugerties, Town of Saugerties, Ulster County, New York, United States","(42.0775906, -73.9529126)"
2111,"LAURELTON, NY, USA","Laurelton, Queens, Queens County, New York, 11413, United States","(40.6667703, -73.7515212)"
2112,"LONG BEACH, NY, USA","Long Beach, Nassau County, New York, 11561, United States","(40.5885508, -73.6582631)"
2113,"Pearl River, NY, USA","Pearl River, Town of Orangetown, Rockland County, New York, United States","(41.05538850000001, -74.00737636711324)"
2114,"Eastchester, NY, USA","Eastchester, Waverly, Town of Eastchester, Westchester County, New York, 10709, United States","(40.957233, -73.80740422459893)"
2115,"GreenLawn, NY, USA","Greenlawn, Town of Huntington, Suffolk County, New York, 11740, United States","(40.860761, -73.3635845507711)"
2116,"Kent, NY, USA","Kent, Town of Carlton, Orleans County, New York, 14477, United States","(43.3276028, -78.1351835)"
2117,"dewitt, NY, USA","Dewitt, Onondaga County, New York, United States","(43.03226305, -76.09669226040208)"
2118,"Patterson, NY, USA","Patterson, Town of Patterson, Putnam County, New York, 10563, United States","(41.513726, -73.6062323)"
2119,"Poughquag, NY, USA","Poughquag, Beekman, Town of Beekman, Dutchess County, New York, 12570, United States","(41.6089826, -73.6817957)"
2120,"Berlin, NY, USA","Berlin, Town of Berlin, Rensselaer County, New York, 12022, United States","(42.6931351, -73.3720549)"
2121,"Greenport, NY, USA","Greenport, Suffolk County, New York, 11944, United States","(41.1034234, -72.3592777)"
2122,"WESTBURY, NY, USA","Westbury, Town of North Hempstead, Nassau County, New York, 11590, United States","(40.7556561, -73.5876273)"
2123,"Highland, NY, USA","Highland, Town of Lloyd, Ulster County, New York, United States","(41.719655, -73.96144573043478)"
2124,"Shoresham, NY, USA",,
2125,"Cuddebackville, NY, USA","Cuddebackville, Town of Deerpark, Orange County, New York, 12729, United States","(41.4673154, -74.5937719)"
2126,"South Setauket, NY, USA","South Setauket, Suffolk County, New York, 11794-5252, United States","(40.9137095, -73.1056641)"
2127,"Tully, NY, USA","Village of Tully, Town of Tully, Onondaga County, New York, United States","(42.798123, -76.1093696)"
2128,"East Nassau, NY, USA","East Nassau, Town of Nassau, Rensselaer County, New York, 12062, United States","(42.5078592, -73.5065006)"
2129,"Clarence, NY, USA","Clarence, Town of Clarence, Erie County, New York, United States","(42.9768372, -78.5930999)"
2130,"Buchanan, NY, USA","Buchanan, Westchester County, New York, 10511, United States","(41.2620383, -73.9381943)"
2131,"Ballston Spa, NY, USA","Ballston Spa, Town of Milton, Saratoga County, New York, 12020, United States","(43.0009087, -73.8490111)"
2132,"Clifton Park, NY, USA","Clifton Park, Town of Clifton Park, Saratoga County, New York, 12065-4370, United States","(42.8656325, -73.7709535)"
2133,"SELDEN, NY, USA","Selden, Suffolk County, New York, United States","(40.871537000000004, -73.04840391393233)"
2134,"Maybrook, NY, USA","Maybrook, Town of Montgomery, Orange County, New York, 12543, United States","(41.4839827, -74.2176487)"
2135,"Cortland Man, NY, USA","Church Street/Cortland Street, Church Street, Financial District, Manhattan Community Board 1, Manhattan, New York, 10013, United States","(40.7105053, -74.0110225)"
2136,"EAST PATCHOGUE, NY, USA","East Patchogue, Suffolk County, New York, 11772, United States","(40.7698599, -72.98558417145864)"
2137,"Bayshore, NY, USA","Bayshore Road, Henderson, Jefferson County, New York, 13605, United States","(43.88514, -76.161709)"
2138,"Cornwall, NY, USA","Town of Cornwall, Orange County, New York, United States","(41.41235399999999, -74.0595176433024)"
2139,"Garnerville, NY, USA","Garnerville, West Haverstraw, Town of Haverstraw, Rockland County, New York, 10923, United States","(41.2017613, -73.9943068)"
2140,"valley stream, NY, USA","Valley Stream, Town of Hempstead, Nassau County, New York, United States","(40.6631362, -73.7056955)"
2141,"Otisville, NY, USA","Otisville, Town of Mount Hope, Orange County, New York, 10963, United States","(41.4734268, -74.5384933)"
2142,"Mt Kisco, NY, USA","Mount Kisco, Mt Kisco Metro-North, Mount Kisco, Westchester County, New York, 10549, United States","(41.2084388, -73.7295886)"
2143,"Stanley, NY, USA","Stanley, Town of Seneca, Ontario County, New York, 14561, United States","(42.8250665, -77.0958052)"
2144,"Brightwaters, NY, USA","Brightwaters, Suffolk County, New York, 11718, United States","(40.7180356, -73.26058458542042)"
2145,"LARCHMONT, NY, USA","Larchmont, Town of Mamaroneck, Westchester County, New York, 10538, United States","(40.9278769, -73.7517983)"
2146,"Sag Harbor, NY, USA","Sag Harbor, Suffolk County, New York, 11963, United States","(40.9978727, -72.2922292)"
2147,"LEVITTOWN, NY, USA","Levittown, Town of Hempstead, Nassau County, New York, United States","(40.7219525, -73.51260989713458)"
2148,"Cazenovia, NY, USA","Village of Cazenovia, Town of Cazenovia, Madison County, New York, United States","(42.9300668, -75.8526915)"
2149,"Esperance, NY, USA","Esperance, Town of Esperance, Schoharie County, New York, United States","(42.761186, -74.2565176)"
2150,"Ancramdale, NY, USA","Ancramdale, Town of Ancram, Columbia County, New York, 12503, United States","(42.0181473, -73.5912358)"
2151,"Loudonville, NY, USA","Loudonville, Town of Colonie, Albany County, New York, 12211, United States","(42.7048009, -73.7548424)"
2152,"Kenmore, NY, USA","Village of Kenmore, Town of Tonawanda, Erie County, New York, 14217, United States","(42.961748, -78.870914)"
2153,"Mattituck, NY, USA","Mattituck, Shore Acres, Town of Southold, Suffolk County, New York, United States","(41.00715165, -72.55413708959088)"
2154,"Malden on Hudson, NY, USA","Malden-on-Hudson, Town of Saugerties, Ulster County, New York, 12453, United States","(42.095368, -73.9340227)"
2155,"Alden, NY, USA","Town of Alden, Erie County, New York, 14004, United States","(42.9000596, -78.4919671)"
2156,"Claryville, NY, USA","Claryville, Town of Neversink, Sullivan County, New York, 12725, United States","(41.918425, -74.5723786)"
2157,"Prattsvl, NY, USA",,
2158,"ALBANY, NY, USA","Albany, Albany County, New York, 12207, United States","(42.6511674, -73.754968)"
2159,"Ashville, NY, USA","Ashville, Town of North Harmony, Chautauqua County, New York, 14710, United States","(42.096446, -79.3756044)"
2160,"North Creek, NY, USA","North Creek, Town of Johnsburg, Warren County, New York, United States","(43.699899, -73.98571)"
2161,"Windham, NY, USA","Windham, Town of Windham, Greene County, New York, United States","(42.3073066, -74.2520875)"
2162,"FLORAL PARK, NY, USA","Floral Park, Town of Hempstead, Nassau County, New York, 11001, United States","(40.7246999, -73.7048024)"
2163,"Lansing, NY, USA","Lansing, Town of Scriba, Oswego County, New York, 13126-2913, United States","(43.4431242, -76.4499387)"
2164,"Remsenburg, NY, USA","Remsenburg, Suffolk County, New York, 11960, United States","(40.8076955, -72.7088261)"
2165,"Stillwater, NY, USA","Stillwater, Town of Stillwater, Saratoga County, New York, United States","(42.9456175, -73.64150011736446)"
2166,"Westhampton Dunes, NY, USA","The Dunes at Westhampton Beach, Westhampton Beach, Suffolk County, New York, United States","(40.826849100000004, -72.64802560698612)"
2167,"Westhampton Beach, NY, USA","Westhampton Beach, Suffolk County, New York, 11978, United States","(40.80823905, -72.64023545400929)"
2168,"Prattsville, NY, USA","Prattsville, Town of Prattsville, Greene County, New York, 12468, United States","(42.3148062, -74.4329261)"
2169,"New York Mills, NY, USA","New York State Thruway, Colemans Mills, Town of Westmoreland, Town of Whitestown, Oneida County, New York, 13424, United States","(43.124002, -75.378296)"
2170,"Ashland, NY, USA","Ashland, Town of Ashland, Greene County, New York, 12407, United States","(42.3036956, -74.3334789)"
2171,"North Tonawanda, NY, USA","City of North Tonawanda, Niagara County, New York, 14120, United States","(43.0407742, -78.8660527)"
2172,"bellmore, NY, USA","Bellmore, Town of Hempstead, Nassau County, New York, 11710, United States","(40.653812599999995, -73.5284852913932)"
2173,"Garden City Park, NY, USA","Garden City Park, Town of North Hempstead, Nassau County, New York, United States","(40.74368425, -73.6642980894836)"
2174,"west islip, NY, USA","West Islip, Babylon, Suffolk County, New York, 11795, United States","(40.712257300000005, -73.30154289073923)"
2175,"Qqueens, NY, USA",,
2176,"Broad Channel, NY, USA","Broad Channel, Queens County, New York, United States","(40.6064008, -73.81901879728136)"
2177,"LAKE RONKONKOMA, NY, USA","Lake Ronkonkoma, Suffolk County, New York, 11779, United States","(40.8237106, -73.1075598)"
2178,"SLEEPY HOLLOW, NY, USA","Sleepy Hollow, Town of Mount Pleasant, Westchester County, New York, United States","(41.085652, -73.8584684)"
2179,"Blasdell, NY, USA","Blasdell, Hamburg, Erie County, New York, United States","(42.797281, -78.823366)"
2180,"Accord, NY, USA","Accord, Town of Rochester, Ulster County, New York, United States","(41.7979985, -74.22923853406763)"
2181,"East Atlantic Beach, NY, USA","East Atlantic Beach, Town of Hempstead, Nassau County, New York, United States","(40.585359499999996, -73.7094510492837)"
2182,"Bay shore, NY, USA","Bay Shore, Suffolk County, New York, United States","(40.73214605, -73.24335297120724)"
2183,"Mahopac, NY, USA","Mahopac, Town of Carmel, Putnam County, New York, 10541, United States","(41.371217, -73.73224142636172)"
2184,"setauket, NY, USA","Setauket, East Setauket, Suffolk County, New York, 11733, United States","(40.9355473, -73.1188824)"
2185,"Caroga Lake, NY, USA","Caroga Lake, Town of Caroga, Fulton County, New York, 12032, United States","(43.1378373, -74.4810303)"
2186,"Valhalla, NY, USA","Valhalla, Town of Mount Pleasant, Westchester County, New York, 10595, United States","(41.0754695, -73.77513001810746)"
2187,"Stormville, NY, USA","Stormville, Town of East Fishkill, Dutchess County, New York, 12582, United States","(41.5703713, -73.7454088)"
2188,"Niskayuna, NY, USA","Niskayuna, Schenectady County, New York, United States","(42.7797995, -73.8456775)"
2189,"KINGS PARK, NY, USA","Kings Park, Village Plaza, Kings Park, Suffolk County, New York, 11754, United States","(40.88373, -73.2544898)"
2190,"Mountain Lodge Park, NY, USA",,
2191,"THORNWOOD, NY, USA","Thornwood, Town of Mount Pleasant, Westchester County, New York, 10594, United States","(41.119195, -73.77679743093893)"
2192,"Cambridge, NY, USA","Cambridge, Town of White Creek, Washington County, New York, 12816, United States","(43.0281329, -73.3812231)"
2193,"Wilton, NY, USA","Wilton, Town of Wilton, Saratoga County, New York, 12831, United States","(43.1800049, -73.7443092)"
2194,"Jamica, NY, USA",,
2195,"Selkirk, NY, USA","Selkirk, Town of Bethlehem, Albany County, New York, 12158, United States","(42.5323027, -73.7984563)"
2196,"Shelter Island Heights, NY, USA","Shelter Island Heights, Suffolk County, New York, 11965, United States","(41.0839883, -72.3559166)"
2197,"SPRING VALLEY, NY, USA","Spring Valley, Town of Ramapo, Rockland County, New York, 10977, United States","(41.1130231, -74.0437839)"
2198,"Cohoes, NY, USA","City of Cohoes, Albany County, New York, 12047, United States","(42.7742446, -73.7001187)"
2199,"North Merrick, NY, USA","North Merrick, Uniondale, Town of Hempstead, Nassau County, New York, United States","(40.686629499999995, -73.56140566567343)"
2200,"ALBANS, NY, USA","Saint Albans, Queens, Queens County, New York, 11412, United States","(40.6984364, -73.7606881)"
2201,"qBrooklyn, NY, USA",,
2202,"Central Square, NY, USA","Village of Central Square, Town of Hastings, Oswego County, New York, United States","(43.2867729, -76.1460189)"
2203,"Randolph, NY, USA","Randolph, Town of Randolph, Cattaraugus County, New York, 14772, United States","(42.162005, -78.975317)"
2204,"canaan, NY, USA","Canaan, Town of Canaan, Columbia County, New York, 12029, United States","(42.4118426, -73.4496088)"
2205,"Bellarose, NY, USA",,
2206,"S. Richmond Hill, NY, USA","Richmond Hill, Irvington, Town of Greenburgh, Westchester County, New York, 10533, United States","(41.033776, -73.864357)"
2207,"Redhook, NY, USA",,
2208,"Walden, NY, USA","Walden, Town of Montgomery, Orange County, New York, 12586, United States","(41.5612048, -74.1884806)"
2209,"West Nyack, NY, USA","West Nyack, Town of Clarkstown, Rockland County, New York, 10994, United States","(41.090103, -73.97048465)"
2210,"Niagara Falls, NY, USA","City of Niagara Falls, Niagara County, New York, United States","(43.08436, -79.0614686)"
2211,"Syracuse, NY, USA","City of Syracuse, Onondaga County, New York, United States","(43.0481221, -76.1474244)"
2212,"CHERRY VALLEY, NY, USA","Cherry Valley, Town of Cherry Valley, Otsego County, New York, United States","(42.7956295, -74.7532018)"
2213,"BABYLON, NY, USA","Babylon, Suffolk County, New York, 11702, United States","(40.6956552, -73.3256753)"
2214,"Sodus, NY, USA","Village of Sodus Point, Town of Sodus, Wayne County, New York, United States","(43.27245, -76.987993)"
2215,"Glen Head, NY, USA","Glen Head, Town of Oyster Bay, Nassau County, New York, United States","(40.84348675, -73.62581450092935)"
2216,"Fort Edward, NY, USA","Fort Edward, Town of Fort Edward, Washington County, New York, United States","(43.267206, -73.584709)"
2217,"Wheatley Heights, NY, USA","Wheatley Heights, Suffolk County, New York, United States","(40.763118, -73.37177475440848)"
2218,"West Seneca, NY, USA","Town of West Seneca, Erie County, New York, United States","(42.8395833, -78.7541466)"
2219,"Groton, NY, USA","Town of Groton, Tompkins County, New York, United States","(42.5867081, -76.3666374)"
2220,"Keene Valley, NY, USA","Keene Valley, Keene, Essex County, New York, 12943, United States","(44.1899781, -73.7862601)"
2221,"Kew Gardens, NY, USA","Kew Gardens, Queens, Queens County, New York, 11415, United States","(40.7139415, -73.830742)"
2222,"east quogue, NY, USA","East Quogue, Suffolk County, New York, 11942, United States","(40.851465000000005, -72.57792197443786)"
2223,"Northville, NY, USA","Northville, Town of Riverhead, Suffolk County, New York, United States","(40.97298325, -72.61611309687899)"
2224,"Cherry Valley, NY, USA","Cherry Valley, Town of Cherry Valley, Otsego County, New York, United States","(42.7956295, -74.7532018)"
2225,"Rosendale, NY, USA","Rosendale, Town of Rosendale, Ulster County, New York, 12472, United States","(41.8439818, -74.0820865)"
2226,"Pavilion, NY, USA","Pavilion, Town of Pavilion, Genesee County, New York, 14525, United States","(42.8761722, -78.0227877)"
2227,"Jamesville, NY, USA","Jamesville, Town of De Witt, Onondaga County, New York, 13078, United States","(42.9920106, -76.0715887)"
2228,"Holdbrook, NY, USA",,
2229,"Colonie, NY, USA","Colonie, Town of Colonie, Albany County, New York, 12205, United States","(42.7178558, -73.8334554)"
2230,"Snyder, NY, USA","Snyder, Town of Amherst, Erie County, New York, 14226, United States","(42.9636689, -78.7839218)"
2231,"Montgomery, NY, USA","Montgomery, Town of Montgomery, Orange County, New York, 12549, United States","(41.5275938, -74.236816)"
2232,"NEW HYDE PARK, NY, USA","New Hyde Park, Town of North Hempstead, Nassau County, New York, 11040:11530, United States","(40.73305695, -73.68553198018466)"
2233,"Lafayette, NY, USA","Lafayette, 380, Lafayette Street, NoHo, Manhattan, New York, 10003, United States","(40.7275742, -73.993705)"
2234,"commack, NY, USA","Commack, Suffolk County, New York, 11725, United States","(40.8418874, -73.27472020941786)"
2235,"Hornell, NY, USA","City of Hornell, Steuben County, New York, 14843, United States","(42.3278477, -77.6611025)"
2236,"Rye, NY, USA","Rye, Westchester County, New York, 10580, United States","(40.9808209, -73.684294)"
2237,"Mt Vernon, NY, USA","Mount Vernon, Westchester County, New York, United States","(40.9125815, -73.8370786)"
2238,"Ridgewood, NY, USA","Ridgewood, Queens, Queens County, New York, 11385, United States","(40.7080556, -73.9141667)"
2239,"Neponsit, NY, USA","Neponsit, Queens County, New York, United States","(40.572873200000004, -73.86019612553424)"
2240,"S Richmond Hill, NY, USA","Richmond Hill, Irvington, Town of Greenburgh, Westchester County, New York, 10533, United States","(41.033776, -73.864357)"
2241,"Greenville, NY, USA","Greenville, Town of Greenburgh, Westchester County, New York, United States","(41.0002965, -73.81725601978849)"
2242,"Yorktown, NY, USA","Town of Yorktown, Westchester County, New York, United States","(41.2956496, -73.80819)"
2243,"east rockaway, NY, USA","East Rockaway, Town of Hempstead, Nassau County, New York, 11518, United States","(40.6415296, -73.6656011)"
2244,"Nanuet, NY, USA","Nanuet, Orchard Street West, Nanuet, Town of Clarkstown, Rockland County, New York, 10954, United States","(41.0903087, -74.0148524)"
2245,"Youngstown, NY, USA","Village of Youngstown, Town of Porter, Niagara County, New York, United States","(43.2474804, -79.0501083)"
2246,"Arlington, NY, USA","Arlington, Town of Poughkeepsie, Dutchess County, New York, United States","(41.694069, -73.88636347613317)"
2247,"Rome, NY, USA","Rome, Jay, Essex County, New York, 12912, United States","(44.4406028, -73.6881949)"
2248,"Strykersville, NY, USA","Strykersville, Town of Sheldon, Wyoming County, New York, 14145, United States","(42.7050607, -78.4483532)"
2249,"Castleton-on-Hudson, NY, USA","Castleton-on-Hudson, Town of Schodack, Rensselaer County, New York, United States","(42.5308134, -73.7553018)"
2250,"Orangeburg, NY, USA","Orangeburg, Town of Orangetown, Rockland County, New York, 10962, United States","(41.0514565, -73.9343141415317)"
2251,"Croton-On-Hudson, NY, USA","Croton-on-Hudson, Westchester County, New York, 10520, United States","(41.2083836, -73.8901688)"
2252,"SEAFORD, NY, USA","Seaford, Town of Hempstead, Nassau County, New York, 11783, United States","(40.6682913, -73.4920793749322)"
