geopy location,coordinates
"Richfield Springs, Town of Richfield, Otsego County, New York, United States","(42.8534057, -74.9854335)"
"Cold Spring, Town of Philipstown, Putnam County, New York, United States","(41.4200938, -73.9545831)"
"Guilderland, Town of Guilderland, Albany County, New York, 12084, United States","(42.704522, -73.911513)"
"Stephentown, Town of Stephentown, Rensselaer County, New York, 12168, United States","(42.5486929, -73.3739973)"
"Hastings-on-Hudson, Town of Greenburgh, Westchester County, New York, 10706, United States","(40.9946622, -73.8785922)"
"Quogue, Suffolk County, New York, 11959, United States","(40.823177, -72.6096451)"
"Warsaw, Town of Warsaw, Wyoming County, New York, 14569, United States","(42.7401871, -78.1325548)"
"Malta, Town of Malta, Saratoga County, New York, 12151, United States","(42.9711708, -73.792926)"
"Westhampton, Suffolk County, New York, 11977, United States","(40.830311550000005, -72.66257373251932)"
"Schenectady, Schenectady County, New York, United States","(42.8142432, -73.9395687)"
nan
"Saint Albans, Queens, Queens County, New York, 11412, United States","(40.6984364, -73.7606881)"
"Berne, Town of Berne, Albany County, New York, 12023:12059, United States","(42.6253546, -74.1334647)"
"Saint Albans, Queens, Queens County, New York, 11412, United States","(40.6984364, -73.7606881)"
"Carle Place, Mineola Park, Carle Place, Mineola, Town of North Hempstead, Nassau County, New York, 11514, United States","(40.750241, -73.61187491661425)"
"Deer Park, Suffolk County, New York, 11729, United States","(40.761886950000005, -73.3239216944929)"
"Upper Nyack, Town of Clarkstown, Rockland County, New York, United States","(41.1070404, -73.9201371)"
"Suffern, Town of Ramapo, Rockland County, New York, 07495, United States","(41.1151372, -74.1493948)"
"Gloversville, Fulton County, New York, 12078, United States","(43.0508945, -74.3452991)"
"Islip, Suffolk County, New York, 11751, United States","(40.7287274, -73.21360733221161)"
"Jerusalem Avenue & Wantaugh Avenue, Jerusalem Avenue, North Wantagh, Town of Hempstead, Nassau County, New York, 11793, United States","(40.6933747, -73.5087365)"
"Sea Cliff, Town of Oyster Bay, Nassau County, New York, 11579, United States","(40.8491558, -73.6448431)"
"South Salem, Town of Lewisboro, Westchester County, New York, 10590, United States","(41.2723173, -73.5529034)"
"Waverly, Franklin County, New York, 12980, United States","(44.5355965, -74.51764488202927)"
"Honeoye Falls, Village of Honeoye Falls, Town of Mendon, Monroe County, New York, 14472, United States","(42.9519038, -77.5914322)"
"East Meadow, Town of Hempstead, Nassau County, New York, 11554, United States","(40.721929599999996, -73.55839696869465)"
"Garden City, Town of Hempstead, Nassau County, New York, United States","(40.7266477, -73.6343052)"
"Burnt Hills, Town of Ballston, Saratoga County, New York, 12027, United States","(42.9097982, -73.8951234)"
"LeRoy, Town of LeRoy, Genesee County, New York, 14482, United States","(42.9783944, -77.9841776)"
"Levittown, Town of Hempstead, Nassau County, New York, United States","(40.7219525, -73.51260989713458)"
"Southampton, Suffolk County, New York, 11968, United States","(40.884267, -72.3895296)"
nan
"Nanuet, Orchard Street West, Nanuet, Town of Clarkstown, Rockland County, New York, 10954, United States","(41.0903087, -74.0148524)"
"Delanson, Town of Duanesburg, Schenectady County, New York, 12053, United States","(42.7453532, -74.1881834)"
"Millwood, Town of New Castle, Westchester County, New York, 11562, United States","(41.1923171, -73.7973562)"
"Briarcliff Manor, Town of Ossining, Westchester County, New York, 10510, United States","(41.1456512, -73.8237456)"
"Ozone Park, Queens, Queens County, New York, 11417, United States","(40.67677, -73.8437461)"
"Greenwood Lake, Town of Warwick, Orange County, New York, 10925, United States","(41.2225932, -74.2943178)"
"Peconic, Town of Southold, Suffolk County, New York, 11958, United States","(41.036163, -72.458004356061)"
"Wallkill, Town of Shawangunk, Ulster County, New York, United States","(41.609186, -74.16474262691466)"
"Elmhurst, Queens, Queens County, New York, 11373, United States","(40.7365804, -73.8783932)"
"Great River, Suffolk County, New York, 11739, United States","(40.72160785, -73.14784967169453)"
"Bloomingburg, Town of Mamakating, Sullivan County, New York, United States","(41.55544365, -74.44309940779489)"
"Village of Oriskany, Town of Whitestown, Oneida County, New York, United States","(43.157359, -75.332909)"
"Boiceville, Town of Olive, Ulster County, New York, 12412, United States","(42.0053215, -74.2663747)"
"Churchville, Town of Verona, Oneida County, New York, 13478, United States","(43.1897914, -75.5762906)"
"Oakland Gardens, Queens, Queens County, New York, 11364:11427, United States","(40.753991, -73.765966)"
"Millbrook, Town of Washington, Dutchess County, New York, 12545, United States","(41.7865038, -73.6921867)"
"Jackson Heights, Queens, Queens County, New York, 11368:11377, United States","(40.7556561, -73.8857755)"
"Guilderland Center, Town of Guilderland, Albany County, New York, 12085, United States","(42.7020217, -73.9662368)"
"Poughkeepsie, Dutchess County, New York, 12601, United States","(41.7065539, -73.9283672)"
"Kirkville, Town of Manlius, Onondaga County, New York, 13082, United States","(43.0750671, -75.9518617)"
"Port Ewen, Town of Esopus, Ulster County, New York, United States","(41.90129635, -73.98226016025599)"
"Marcellus, Town of Marcellus, Onondaga County, New York, 13108, United States","(42.9556549, -76.3249424)"
"Cooperstown, Town of Otsego, Otsego County, New York, United States","(42.7006303, -74.924321)"
"Hadley, Town of Hadley, Saratoga County, New York, 12846, United States","(43.3177008, -73.8474816)"
"Sidney, Town of Sidney, Delaware County, New York, 13838, United States","(42.3157824, -75.392776)"
"Pleasantville, Town of Mount Pleasant, Westchester County, New York, 10570, United States","(41.1328736, -73.7926335)"
"Huntington, Town of Huntington, Suffolk County, New York, 11743, United States","(40.868154, -73.425676)"
"Aquebogue, Town of Riverhead, Suffolk County, New York, 11931, United States","(40.94107235, -72.61272892446681)"
"Pittstown, Town of Pittstown, Rensselaer County, New York, United States","(42.8350778, -73.485114)"
"Hewlett, Town of Hempstead, Nassau County, New York, United States","(40.641309500000006, -73.69284205012906)"
"Clarkson, Town of Clarkson, Town of Sweden, Monroe County, New York, United States","(43.2440061, -77.91600097976294)"
"Voorheesville, Town of New Scotland, Albany County, New York, 12186, United States","(42.653967, -73.9287366)"
"North Babylon, Suffolk County, New York, 11703, United States","(40.7303088, -73.3265592076986)"
"East Chatham, Town of Chatham, Columbia County, New York, 12060, United States","(42.4106396, -73.5245579)"
"Elizaville, Town of Livingston, Columbia County, New York, 12523, United States","(42.0509242, -73.7937408)"
"Village of Medina, Town of Ridgeway, Orleans County, New York, 14103, United States","(43.2202828, -78.3866445)"
"New York, United States","(40.7127281, -74.0060152)"
"East Bethany, Town of Bethany, Genesee County, New York, 14054, United States","(42.9314495, -78.101402)"
"Hauppauge, Suffolk County, New York, United States","(40.8239353, -73.20595713476213)"
"Long Eddy, Town of Fremont, Sullivan County, New York, United States","(41.8509212, -75.1335027)"
nan
"Rensselaer, Rensselaer County, New York, 12144-2920, United States","(42.6425795, -73.742898)"
"Flushing, Queens, Queens County, New York, 11354, United States","(40.7654301, -73.8174291)"
"Westerlo, Town of Westerlo, Albany County, New York, 12193, United States","(42.5150785, -74.0454099)"
"Town of Johnsburg, Warren County, New York, United States","(43.618431, -73.961334)"
"Oceanside, Town of Hempstead, Nassau County, New York, 11572, United States","(40.633591499999994, -73.63765271803683)"
"Port Jefferson Station, Port Jefferson, Suffolk County, New York, United States","(40.92291575, -73.06556542976159)"
"Village of Avon, Town of Avon, Livingston County, New York, United States","(42.9119925, -77.7454567)"
"Gilboa, Town of Gilboa, Schoharie County, New York, United States","(42.3973028, -74.4459805)"
"Copiague, Lindenhurst, Suffolk County, New York, 11726, United States","(40.6840538, -73.4008102)"
"Village of Lima, Town of Lima, Livingston County, New York, United States","(42.9047857, -77.611387)"
"North Woodmere, Town of Hempstead, Nassau County, New York, 11581, United States","(40.6501036, -73.7240205)"
"Walker Valley, Town of Shawangunk, Ulster County, New York, 12588, United States","(41.63746385, -74.377482245896)"
"Islip Terrace, Islip, Suffolk County, New York, 11752, United States","(40.750438349999996, -73.18576083146894)"
"Pine City, Town of Southport, Chemung County, New York, 14871, United States","(42.0367409, -76.8694036)"
"Margaretville, Town of Middletown, Delaware County, New York, United States","(42.1487726, -74.6487018)"
"Cottekill, Town of Rosendale, Ulster County, New York, 12419, United States","(41.853392, -74.106082)"
"Lake Success, Town of North Hempstead, Nassau County, New York, United States","(40.76759425, -73.71044850000571)"
"Salisbury Mills, Town of Blooming Grove, Orange County, New York, 12577, United States","(41.4306494, -74.1190335)"
"Palatine Bridge, Town of Palatine, Montgomery County, New York, 13428, United States","(42.9109064, -74.5740296)"
"Shrub Oak, Town of Yorktown, Westchester County, New York, 10588, United States","(41.321675, -73.82963669626193)"
"Massapequa, Town of Oyster Bay, Nassau County, New York, United States","(40.6695725, -73.46977010202824)"
"Perry, Town of Perry, Wyoming County, New York, 14530, United States","(42.7156175, -78.0055618)"
"Ghent, Town of Ghent, Columbia County, New York, 12037, United States","(42.3292525, -73.6156736)"
"Medford, Suffolk County, New York, 11763, United States","(40.82261165, -72.98875741755549)"
"Glendale, Queens, Queens County, New York, 11385, United States","(40.7014917, -73.8868028)"
"Lyons, Town of Lyons, Town of Galen, Wayne County, New York, United States","(43.0641958, -76.98833209370525)"
"Mount Sinai, Suffolk County, New York, 11766, United States","(40.9372413, -73.0251829661974)"
"Nelson Avenue, Eddy Corners, Saratoga Springs, City of Saratoga Springs, Saratoga County, New York, 12866, United States","(43.067069, -73.771508)"
"South Ozone Park, Queens, Queens County, New York, 11420, United States","(40.6701035, -73.8190231)"
"Van Hornesville, Town of Stark, Herkimer County, New York, 13475, United States","(42.8950724, -74.8276495)"
nan
"Wells College, 170, Main Street, Village of Aurora, Town of Ledyard, Cayuga County, New York, 13026, United States","(42.74411755, -76.6934132168704)"
"Irvington, Town of Greenburgh, Westchester County, New York, United States","(41.0350625, -73.86485213574096)"
"Deer Park, Suffolk County, New York, 11729, United States","(40.761886950000005, -73.3239216944929)"
"South Farmingdale, Town of Oyster Bay, Nassau County, New York, 11735, United States","(40.71831455, -73.44593302204049)"
"Coxsackie, Town of Coxsackie, Greene County, New York, 12051, United States","(42.3509179, -73.8029028)"
"Nyack, Town of Orangetown, Rockland County, New York, 10960, United States","(41.091121, -73.9196794)"
"Voorheesville, Town of New Scotland, Albany County, New York, 12186, United States","(42.653967, -73.9287366)"
"Livingston, Town of Livingston, Columbia County, New York, 12541, United States","(42.1420336, -73.777905)"
"Lake Hill, Town of Woodstock, Ulster County, New York, 12448, United States","(42.0673131, -74.1870881)"
"Lafayette, 380, Lafayette Street, NoHo, Manhattan, New York, 10003, United States","(40.7275742, -73.993705)"
"Miller Place, Suffolk County, New York, 11764, United States","(40.93543235, -72.98795627581887)"
"Woodhaven, Queens, Queens County, New York, 11421, United States","(40.6892698, -73.8579131)"
"Florida, Town of Warwick, Orange County, New York, 10921, United States","(41.3317607, -74.35682)"
"Island Park, Town of Hempstead, Nassau County, New York, 11558, United States","(40.6042705, -73.6554078)"
"Stony Point, Town of Stony Point, Rockland County, New York, United States","(41.230166999999994, -73.9880692824396)"
"Breezy Point, Queens County, New York, United States","(40.5562952, -73.9267466193535)"
"Pawling, Town of Pawling, Dutchess County, New York, 12564, United States","(41.5620381, -73.6026271)"
"Hampton Bays, Newtown, Suffolk County, New York, United States","(40.87585945, -72.49844690430001)"
"Kerhonkson, Town of Wawarsing, Ulster County, New York, United States","(41.7736845, -74.30082923131954)"
"Heuvelton, Oswegatchie, Saint Lawrence County, New York, United States","(44.618333, -75.40741)"
"Blauvelt, Town of Orangetown, Rockland County, New York, 10913, United States","(41.069631, -73.95182433174313)"
"Oak Beach, Suffolk County, New York, United States","(40.63941495, -73.28632472324398)"
"Town of Cornwall, Orange County, New York, United States","(41.41235399999999, -74.0595176433024)"
"Potsdam, Town of Potsdam, Saint Lawrence County, New York, 13699, United States","(44.671551, -74.98342719881256)"
"Syosset, Town of Oyster Bay, Nassau County, New York, 11791, United States","(40.818714150000005, -73.50015652837524)"
"East Elmhurst, Queens, Queens County, New York, 11369, United States","(40.7612123, -73.8651358)"
"West Albany, Albany, Albany County, New York, 12111, United States","(42.6831344, -73.7784543)"
"Town of Galway, Saratoga County, New York, 12074, United States","(43.0249201, -74.0151814)"
"Village of Chittenango, Town of Sullivan, Madison County, New York, United States","(43.0450671, -75.86658)"
"Summit, Town of Summit, Schoharie County, New York, 12175, United States","(42.5795203, -74.5882017)"
"Maryland, Town of Maryland, Otsego County, New York, United States","(42.5364661, -74.8865453)"
"Norwich, Beacon Park Condominiums, Town of Amherst, Erie County, New York, 14261, United States","(43.0138168, -78.7938995)"
"Ulster Park, Town of Esopus, Ulster County, New York, 12487, United States","(41.855926, -73.9770826)"
"Croton-on-Hudson, Westchester County, New York, 10520, United States","(41.2083836, -73.8901688)"
"Saint Johnsville, St. Johnsville, Town of St. Johnsville, Montgomery County, New York, 13452, United States","(42.9981274, -74.6829225)"
"Alexandria Bay, Alexandria, Jefferson County, New York, United States","(44.336127, -75.917931)"
"Bellerose, Elmont, Town of Hempstead, Nassau County, New York, United States","(40.7242205, -73.7164845)"
"Parishville, Saint Lawrence County, New York, 13672, United States","(44.5735442, -74.83446049062773)"
"Bay Shore, Suffolk County, New York, United States","(40.73214605, -73.24335297120724)"
"Acra, Town of Cairo, Greene County, New York, 12405, United States","(42.3109186, -74.0554126)"
"Ontario Center, Town of Ontario, Wayne County, New York, 14520, United States","(43.2259651, -77.3059485)"
"Wappingers Falls, Town of Wappinger, Dutchess County, New York, United States","(41.5965635, -73.9112103)"
"Bridgehampton, i, Bridgehampton, Suffolk County, New York, 11932, United States","(40.932696, -72.3108868124734)"
"Holtsville, Suffolk County, New York, 11742, United States","(40.81078385, -73.0323233788186)"
"St. James, Suffolk County, New York, United States","(40.88133115, -73.1511731991221)"
"Hawthorne, Town of Mount Pleasant, Westchester County, New York, 10532, United States","(41.10433545, -73.79262624386908)"
"Cossayuna, Town of Greenwich, Washington County, New York, 12823, United States","(43.1836864, -73.4267786)"
"Freehold, Town of Greenville, Greene County, New York, 12431, United States","(42.3592503, -74.0498564)"
"Mayfield, Fulton County, New York, 12117, United States","(43.1207243, -74.260429)"
"Feura Bush, Town of New Scotland, Albany County, New York, 12607, United States","(42.5778571, -73.8787363)"
"Castleton-on-Hudson, Town of Schodack, Rensselaer County, New York, United States","(42.5308134, -73.7553018)"
"Sound Beach, Miller Place, Suffolk County, New York, 11789, United States","(40.95592895, -72.96804285664044)"
"Taghkanic, Town of Taghkanic, Columbia County, New York, 12521, United States","(42.1423116, -73.6773462)"
"Town of Lewiston, Niagara County, New York, United States","(43.172555, -79.035878)"
"Niskayuna, Schenectady County, New York, United States","(42.7797995, -73.8456775)"
"Wappingers Falls, Town of Wappinger, Dutchess County, New York, United States","(41.5965635, -73.9112103)"
"Queen, Court Street, Brooklyn Heights, Brooklyn, New York, 11201, United States","(40.6913201, -73.9917557)"
"Shady, Town of Woodstock, Ulster County, New York, 12409, United States","(42.0664798, -74.1593093)"
"Valley Cottage, Town of Clarkstown, Rockland County, New York, 10989, United States","(41.117857, -73.94361203870969)"
"New Rochelle, Westchester County, New York, United States","(40.9115386, -73.7826363)"
nan
"Shoreham, Suffolk County, New York, United States","(40.9552745, -72.90963006586013)"
"Rock Tavern, Town of New Windsor, Orange County, New York, 12543, United States","(41.4662049, -74.1912587)"
nan
"Hunter, Town of Hunter, Greene County, New York, United States","(42.2136987, -74.2187541)"
"Arverne, Queens, Queens County, New York, 11692, United States","(40.5934173, -73.7895462)"
"Lagrangeville, Town of Union Vale, Dutchess County, New York, 12570, United States","(41.6541106, -73.6667779)"
"Delhi, Town of Delhi, Delaware County, New York, United States","(42.2781401, -74.9159946)"
"Plattekill, Town of Plattekill, Ulster County, New York, 12568, United States","(41.6183355, -74.05983558715492)"
"Glen Spey, Town of Lumberland, Sullivan County, New York, 12737, United States","(41.4787025, -74.8134978)"
"Forestville, Town of Hanover, Chautauqua County, New York, 14062, United States","(42.4684949, -79.1767785)"
"Pleasant Valley, Town of Pleasant Valley, Dutchess County, New York, United States","(41.7445382, -73.8212439)"
nan
"North Bellmore, East Meadow, Town of Hempstead, Nassau County, New York, 11710, United States","(40.6914882, -73.5336396)"
"East Hampton, Village of East Hampton, Suffolk County, New York, 11937, United States","(40.9633868, -72.1847598)"
nan
"Clinton, Clinton County, New York, 12923, United States","(44.9455645, -73.93242114855485)"
"Westhampton Beach, Suffolk County, New York, 11978, United States","(40.80823905, -72.64023545400929)"
nan
"New York, United States","(40.7127281, -74.0060152)"
"Pearl River, Town of Orangetown, Rockland County, New York, United States","(41.05538850000001, -74.00737636711324)"
"Huguenot, Staten Island, Richmond County, New York, 10309:10312, United States","(40.5373275, -74.1945884)"
"Springfield Gardens, Queens, Queens County, New York, 11413, United States","(40.678159, -73.746521)"
"Copiague, Lindenhurst, Suffolk County, New York, 11726, United States","(40.6840538, -73.4008102)"
"Richmond Hills, Irvington, Town of Greenburgh, Westchester County, New York, United States","(41.0316416, -73.86751462935484)"
"East Northport, Town of Huntington, Suffolk County, New York, United States","(40.8810646, -73.31953166343041)"
"Bedford Hills, Town of Bedford, Westchester County, New York, 10507, United States","(41.2367613, -73.6945751)"
"Port Washington, Port Washington Park, Town of North Hempstead, Nassau County, New York, United States","(40.8254914, -73.68128200830327)"
"Village of New Hartford, Town of New Hartford, Oneida County, New York, United States","(43.073653, -75.287933)"
"Shrub Oak, Town of Yorktown, Westchester County, New York, 10588, United States","(41.321675, -73.82963669626193)"
"Yorktown Heights, Town of Yorktown, Westchester County, New York, United States","(41.2695965, -73.77527040089426)"
"Bellmore, Town of Hempstead, Nassau County, New York, 11710, United States","(40.653812599999995, -73.5284852913932)"
"Village of Hagaman, Town of Amsterdam, Montgomery County, New York, United States","(42.9745189, -74.1509633)"
"Carle Place, Mineola Park, Carle Place, Mineola, Town of North Hempstead, Nassau County, New York, 11514, United States","(40.750241, -73.61187491661425)"
"Germantown, Town of Germantown, Columbia County, New York, United States","(42.1345339, -73.8917982)"
"Canarsie, Brooklyn, Kings County, New York, 11236, United States","(40.643715, -73.9006921)"
"Middle Grove, Town of Greenfield, Saratoga County, New York, 12863, United States","(43.0897964, -73.9179022)"
"Westfield, Town of Westfield, Chautauqua County, New York, 14787, United States","(42.32228, -79.578103)"
"Cuba, Town of Cuba, Allegany County, New York, United States","(42.2175668, -78.2752927)"
"City of Cohoes, Albany County, New York, 12047, United States","(42.7742446, -73.7001187)"
"Stockport, Town of Stockport, Columbia County, New York, 12050, United States","(42.3095301, -73.7462346)"
"South Ozone Park, Queens, Queens County, New York, 11420, United States","(40.6701035, -73.8190231)"
"Mohegan Lake, Town of Yorktown, Westchester County, New York, 10547, United States","(41.3184272, -73.8590248)"
"Hoosick Falls, Town of Hoosick, Rensselaer County, New York, 12090, United States","(42.9011892, -73.3515001)"
"Allegany, Town of Allegany, Cattaraugus County, New York, United States","(42.0900239, -78.4943858)"
"Ulster Park, Town of Esopus, Ulster County, New York, 12487, United States","(41.855926, -73.9770826)"
"Cottekill, Town of Rosendale, Ulster County, New York, 12419, United States","(41.853392, -74.106082)"
nan
"Liberty, Town of Liberty, Sullivan County, New York, 12754, United States","(41.8012002, -74.7465527)"
"East Durham, Town of Durham, Greene County, New York, 12423, United States","(42.3725828, -74.0956914)"
"Roosevelt, Town of Hempstead, Nassau County, New York, 11575, United States","(40.6781175, -73.58553812639434)"
"East Setauket, Suffolk County, New York, 11733, United States","(40.9418427, -73.1058559)"
"East Schodack, Town of Schodack, Rensselaer County, New York, 12063, United States","(42.562025, -73.6334502)"
"Livingston Manor, Town of Rockland, Sullivan County, New York, 12758, United States","(41.893367999999995, -74.8269043643449)"
"Copake, Town of Copake, Columbia County, New York, 12516, United States","(42.1035545, -73.5496591)"
"South Ozone Park, Queens, Queens County, New York, 11420, United States","(40.6701035, -73.8190231)"
"Hewlett Harbor, Town of Hempstead, Nassau County, New York, United States","(40.6362146, -73.6815194)"
"Hurley, Town of Hurley, Ulster County, New York, United States","(41.915060499999996, -74.06112642506818)"
"East Amherst, Town of Clarence, Erie County, New York, 14051-1622, United States","(43.0183913, -78.696697)"
"Croton-on-Hudson, Westchester County, New York, 10520, United States","(41.2083836, -73.8901688)"
"Central Valley, Woodbury, Town of Woodbury, Orange County, New York, 10917, United States","(41.3317605, -74.120978)"
"Village of Hannibal, Town of Hannibal, Oswego County, New York, United States","(43.321179, -76.578834)"
"Hastings-on-Hudson, Town of Greenburgh, Westchester County, New York, 10706, United States","(40.9946622, -73.8785922)"
"Speonk, North Phillips Avenue, Speonk, Suffolk County, New York, 11941, United States","(40.821215, -72.7048381)"
"Johnstown, City of Johnstown, Fulton County, New York, 12095, United States","(43.0068689, -74.3676437)"
"Hamden, Town of Hamden, Delaware County, New York, 13782, United States","(42.1911969, -74.9946083)"
"Verbank, Town of Union Vale, Dutchess County, New York, 12585, United States","(41.7287051, -73.710407)"
"Village of East Syracuse, Town of De Witt, Onondaga County, New York, United States","(43.0653446, -76.0785332)"
"Dryden, NY 13053, West Main Street, Village of Dryden, Town of Dryden, Tompkins County, New York, 13053, United States","(42.490152, -76.299278)"
"Glenham, Town of Fishkill, Dutchess County, New York, 12527, United States","(41.5217603, -73.9265262)"
"Redwood, Alexandria, Jefferson County, New York, United States","(44.303722, -75.80276487525987)"
"Brooktondale, Town of Caroline, Tompkins County, New York, United States","(42.3806287, -76.3946593)"
"Norwood, Town of Potsdam, Saint Lawrence County, New York, 13668, United States","(44.75161, -74.994392)"
"Malone, Franklin County, New York, United States","(44.84881, -74.295044)"
"Unadilla, Town of Unadilla, Otsego County, New York, United States","(42.3253586, -75.3123969)"
nan
"East Aurora, Town of Aurora, Erie County, New York, 14052, United States","(42.7689141, -78.6177611)"
"Salt Point, Town of Pleasant Valley, Dutchess County, New York, 12578, United States","(41.8067601, -73.7931869)"
"Water Mill, Suffolk County, New York, 11976, United States","(40.92577465, -72.34991238933043)"
"Cross River, Boutonville, Town of Pound Ridge, Westchester County, New York, 10518, United States","(41.2614778, -73.5932622)"
"Rosalyn Ridge Road, Town of Bethel, Sullivan County, New York, 12786, United States","(41.673268, -74.799264)"
"Wynantskill, Town of North Greenbush, Rensselaer County, New York, United States","(42.686524, -73.63934627022394)"
"Rockaway Beach, Queens, Queens County, New York, 11693, United States","(40.5844026, -73.8167015)"
"Haverstraw, Town of Haverstraw, Rockland County, New York, 10927, United States","(41.1976502, -73.9640541)"
"Wappinger Creek, Wappingers Falls, Town of Wappinger, Dutchess County, New York, 12537, United States","(41.5893319, -73.9358512)"
"South Jamesport, Town of Riverhead, Suffolk County, New York, 11970, United States","(40.9364888, -72.5773135)"
"East Meredith, Town of Meredith, Delaware County, New York, 13757, United States","(42.4214691, -74.886825)"
"Victor, Nevins Street, Gowanus, Brooklyn, Kings County, New York, 11217, United States","(40.6796006, -73.9869246)"
"North Babylon, Suffolk County, New York, 11703, United States","(40.7303088, -73.3265592076986)"
nan
"East Islip, Suffolk County, New York, 11730, United States","(40.7320819, -73.1883301)"
"Montauk, Suffolk County, New York, 11954, United States","(41.043629800000005, -71.94387532055404)"
"Port Jefferson Station, Port Jefferson, Suffolk County, New York, United States","(40.92291575, -73.06556542976159)"
"Massapequa, Town of Oyster Bay, Nassau County, New York, United States","(40.6695725, -73.46977010202824)"
"Wantagh, Town of Hempstead, Nassau County, New York, 11793, United States","(40.6626375, -73.51343832543981)"
"Tillson, Town of Rosendale, Ulster County, New York, 12486, United States","(41.835796, -74.06400823508193)"
"Cobleskill, Town of Cobleskill, Schoharie County, New York, United States","(42.677853, -74.4854172)"
"Eastport, Suffolk County, New York, 11941, United States","(40.8441033, -72.72003248026218)"
"Commack, Suffolk County, New York, 11725, United States","(40.8418874, -73.27472020941786)"
nan
"Mexico, 97-22, 57th Avenue, Queens, Queens County, New York, 11368, United States","(40.7364202, -73.86316801540536)"
"Pine Plains, Town of Pine Plains, Dutchess County, New York, 12567, United States","(41.9798143, -73.6559602)"
"Olean, Cattaraugus County, New York, United States","(42.0774779, -78.4298613)"
"Stony Brook, Suffolk County, New York, United States","(40.9087015, -73.13960360056436)"
"Consulate General of Poland, 233, Madison Avenue, Midtown South, Manhattan Community Board 6, Manhattan, New York, 10016, United States","(40.74968685, -73.98124167388889)"
"Town of Ticonderoga, Essex County, New York, 12883, United States","(43.8487795, -73.4232317)"
"East Meadow, Town of Hempstead, Nassau County, New York, 11554, United States","(40.721929599999996, -73.55839696869465)"
nan
"Village of Williamsville, Town of Amherst, Erie County, New York, United States","(42.9637836, -78.7377258)"
"Suffern, Town of Ramapo, Rockland County, New York, 07495, United States","(41.1151372, -74.1493948)"
"Ontario, NY 14519, 2001, Ferguson Street, Town of Ontario, Wayne County, New York, 14519, United States","(43.22257555, -77.28400363585207)"
nan
"Lyons, Town of Lyons, Town of Galen, Wayne County, New York, United States","(43.0641958, -76.98833209370525)"
"Hastings-on-Hudson, Town of Greenburgh, Westchester County, New York, 10706, United States","(40.9946622, -73.8785922)"
"Manorville, Suffolk County, New York, 11949, United States","(40.862629999999996, -72.7859548411711)"
"Brentwood, Suffolk County, New York, 11717, United States","(40.7799998, -73.25600452906124)"
"Dewittville, Town of Chautauqua, Chautauqua County, New York, 14728, United States","(42.2392247, -79.4453246)"
"Parksville, Town of Liberty, Sullivan County, New York, 12768, United States","(41.8554576, -74.7595057)"
"North Bellmore, East Meadow, Town of Hempstead, Nassau County, New York, 11710, United States","(40.6914882, -73.5336396)"
"Town of Spencer, Tioga County, New York, United States","(42.2097963, -76.4932748)"
"Katonah, Town of Bedford, Westchester County, New York, 10536, United States","(41.25877, -73.6853852)"
"Schaghticoke, Town of Schaghticoke, Rensselaer County, New York, 12154, United States","(42.9000773, -73.5853939)"
"Angelica, Town of Angelica, Allegany County, New York, United States","(42.3067345, -78.0158388)"
"Ocean Beach, Suffolk County, New York, United States","(40.6464684, -73.15659369987429)"
"Washingtonville, Town of Blooming Grove, Orange County, New York, United States","(41.4278716, -74.1659798)"
"Brewerton, Town of Cicero, Onondaga County, New York, 13029, United States","(43.2381242, -76.1407575)"
"Franklin Square, Town of Hempstead, Nassau County, New York, United States","(40.7005365, -73.67626990577244)"
"Rhinebeck, Town of Rhinebeck, Dutchess County, New York, United States","(41.9268754, -73.9126639)"
"Hicksville, Town of Oyster Bay, Nassau County, New York, 11801, United States","(40.768189500000005, -73.52825084507913)"
nan
"Village of Pittsford, Town of Pittsford, Monroe County, New York, United States","(43.090959, -77.515298)"
"Dunkirk, City of Dunkirk, Chautauqua County, New York, 14048, United States","(42.479502, -79.333932)"
"Pomona, Town of Haverstraw, Rockland County, New York, United States","(41.1897336, -74.05612474995017)"
"Amityville, Suffolk County, New York, 11701, United States","(40.6789893, -73.4170673)"
"Lake Carmel, Town of Kent, Putnam County, New York, 10512, United States","(41.4668935, -73.66675040367606)"
"Village of Baldwinsville, Town of Lysander, Onondaga County, New York, 13027, United States","(43.158679, -76.33271)"
"Sloatsburg, Town of Ramapo, Rockland County, New York, 10974, United States","(41.1545395, -74.192924)"
"Tuckahoe, Town of Eastchester, Westchester County, New York, United States","(40.953798, -73.82380048846724)"
"Blooming Grove, Town of Blooming Grove, Orange County, New York, 10914, United States","(41.4092605, -74.1951475)"
"East Hampton, Village of East Hampton, Suffolk County, New York, 11937, United States","(40.9633868, -72.1847598)"
"Getzville, Town of Amherst, Erie County, New York, 14068, United States","(43.0243244, -78.7678332)"
"Northport, Town of Huntington, Suffolk County, New York, 11768, United States","(40.9009595, -73.343167)"
"Freedom, Town of Freedom, Cattaraugus County, New York, 14065, United States","(42.4847852, -78.3311262)"
nan
"Rockaway Point, Queens County, New York, 11697, United States","(40.560752449999995, -73.9180884272657)"
nan
"Village of Depew, Town of Lancaster, Erie County, New York, 14043, United States","(42.9022047, -78.6956723)"
"Harrisville, Town of Diana, Lewis County, New York, United States","(44.152159, -75.321236)"
"The Bronx, Bronx County, New York, United States","(40.8466508, -73.8785937)"
"Hermon, Saint Lawrence County, New York, 13652, United States","(44.467356, -75.230598)"
